asset_no,warranty_start,warranty_expire,warranty_months
130000009309,2019-04-18,2024-04-18,61
130000009310,2019-04-18,2024-04-18,61
130000009311,2019-04-18,2024-04-18,61
130000009370,2019-03-21,2024-03-21,61
130000009384,2019-04-18,2024-04-18,61
130000009385,2019-04-18,2024-04-18,61
130000009386,2019-04-18,2024-04-18,61
130000009387,2019-04-18,2024-04-18,61
130000009388,2019-04-18,2024-04-18,61
130000009389,2019-04-18,2024-04-18,61
130000009395,2019-04-07,2024-04-07,61
130000009396,2019-04-07,2024-04-07,61
130000009397,2019-04-07,2024-04-07,61
130000009398,2019-04-07,2024-04-07,61
130000009444,2019-05-04,2024-05-04,61
130000009445,2019-05-04,2024-05-04,61
130000009446,2019-05-04,2024-05-04,61
130000009447,2019-05-04,2024-05-04,61
130000009470,2019-04-24,2024-04-24,61
130000009471,2019-04-24,2024-04-24,61
130000009472,2019-04-24,2024-04-24,61
130000009473,2019-04-24,2024-04-24,61
130000009474,2019-04-24,2024-04-24,61
130000009475,2019-04-24,2024-04-24,61
130000009488,2019-04-25,2024-04-25,61
130000009489,2019-04-25,2024-04-25,61
130000009490,2019-04-25,2024-04-25,61
130000009491,2019-04-25,2024-04-25,61
130000009492,2019-04-25,2024-04-25,61
130000009493,2019-04-25,2024-04-25,61
130000009534,2019-04-25,2024-04-25,61
130000009535,2019-04-25,2024-04-25,61
130000009536,2019-04-25,2024-04-25,61
130000009537,2019-04-25,2024-04-25,61
130000009538,2019-04-25,2024-04-25,61
130000009539,2019-04-25,2024-04-25,61
130000009667,2019-04-26,2024-04-26,61
130000009668,2019-04-26,2024-04-26,61
130000009669,2019-04-26,2024-04-26,61
130000009670,2019-04-26,2024-04-26,61
130000009671,2019-04-26,2024-04-26,61
130000009737,2019-04-06,2024-04-06,61
130000009738,2019-04-06,2024-04-06,61
130000009801,2019-05-14,2024-05-14,61
130000009802,2019-05-14,2024-05-14,61
130000009803,2019-05-14,2024-05-14,61
130000009804,2019-05-14,2024-05-14,61
130000009805,2019-05-14,2024-05-14,61
130000009806,2019-05-14,2024-05-14,61
130000009848,2019-05-18,2024-05-18,61
130000009849,2019-05-18,2024-05-18,61
130000009850,2019-05-18,2024-05-18,61
130000009851,2019-05-18,2024-05-18,61
130000009852,2019-05-18,2024-05-18,61
130000009853,2019-05-18,2024-05-18,61
130000009941,2019-05-23,2024-05-23,61
130000009942,2019-05-23,2024-05-23,61
130000009943,2019-05-23,2024-05-23,61
130000009944,2019-05-23,2024-05-23,61
130000009945,2019-05-23,2024-05-23,61
130000009946,2019-05-23,2024-05-23,61
130000009959,2019-05-25,2024-05-25,61
130000009960,2019-05-25,2024-05-25,61
130000009961,2019-05-25,2024-05-25,61
130000009962,2019-05-25,2024-05-25,61
130000009996,2019-05-14,2024-05-14,61
130000010210,2019-05-26,2024-05-26,61
130000010229,2019-05-25,2024-05-25,61
130000010230,2019-05-25,2024-05-25,61
130000010231,2019-05-25,2024-05-25,61
130000010232,2019-05-25,2024-05-25,61
130000010233,2019-05-25,2024-05-25,61
130000010239,2019-06-20,2024-06-20,61
130000010240,2019-06-20,2024-06-20,61
130000010241,2019-06-20,2024-06-20,61
130000010242,2019-06-20,2024-06-20,61
130000010243,2019-06-20,2024-06-20,61
130000010256,2019-06-12,2024-06-12,61
130000010257,2019-06-12,2024-06-12,61
130000010258,2019-06-12,2024-06-12,61
130000010259,2019-06-12,2024-06-12,61
130000010260,2019-06-12,2024-06-12,61
130000010261,2019-06-12,2024-06-12,61
130000010274,2019-06-10,2024-06-10,61
130000010275,2019-06-10,2024-06-10,61
130000010276,2019-06-10,2024-06-10,61
130000010277,2019-06-10,2024-06-10,61
130000010278,2019-06-10,2024-06-10,61
130000010279,2019-06-10,2024-06-10,61
130000010324,2019-06-21,2024-06-21,61
130000010370,2019-06-19,2024-06-19,61
130000010371,2019-06-19,2024-06-19,61
130000010372,2019-06-19,2024-06-19,61
130000010373,2019-06-19,2024-06-19,61
130000010374,2019-06-19,2024-06-19,61
130000010375,2019-06-19,2024-06-19,61
130000010408,2019-06-25,2024-06-25,61
130000010409,2019-06-25,2024-06-25,61
130000010410,2019-06-25,2024-06-25,61
130000010411,2019-06-25,2024-06-25,61
130000010553,2019-06-24,2024-06-24,61
130000010554,2019-06-24,2024-06-24,61
130000010555,2019-06-24,2024-06-24,61
130000010556,2019-06-24,2024-06-24,61
130000010584,2019-07-02,2024-07-02,61
130000010592,2019-07-02,2024-07-02,61
130000010593,2019-07-02,2024-07-02,61
130000010594,2019-07-02,2024-07-02,61
130000010595,2019-07-02,2024-07-02,61
130000010596,2019-07-02,2024-07-02,61
130000010967,2019-07-19,2024-07-19,61
130000010968,2019-07-19,2024-07-19,61
130000010969,2019-07-19,2024-07-19,61
130000010970,2019-07-19,2024-07-19,61
130000010971,2019-07-19,2024-07-19,61
130000010972,2019-07-19,2024-07-19,61
130000011010,2019-07-02,2024-07-02,61
130000011420,2019-08-16,2024-08-16,61
130000011421,2019-08-16,2024-08-16,61
130000011422,2019-07-31,2024-07-31,61
130000011423,2019-07-31,2024-07-31,61
130000011496,2019-08-20,2024-08-20,61
130000011497,2019-08-20,2024-08-20,61
130000011498,2019-08-20,2024-08-20,61
130000011499,2019-08-20,2024-08-20,61
130000011500,2019-08-20,2024-08-20,61
130000011501,2019-08-20,2024-08-20,61
130000011517,2019-08-26,2020-08-26,12
130000011518,2019-08-26,2020-08-26,12
130000011519,2019-08-26,2020-08-26,12
130000011520,2019-08-26,2020-08-26,12
130000011521,2019-08-26,2020-08-26,12
130000011559,2019-08-26,2024-08-26,61
130000011560,2019-08-26,2024-08-26,61
130000011561,2019-08-26,2024-08-26,61
130000011562,2019-08-26,2024-08-26,61
130000011563,2019-08-26,2024-08-26,61
130000011564,2019-08-26,2024-08-26,61
130000011580,2019-10-11,2024-10-11,61
130000011581,2019-10-11,2024-10-11,61
